Price,Close,Close,Close,Close,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Name
Ticker,D,DG,DPZ,DUK,D,DG,DPZ,DUK,D,DG,DPZ,DUK,D,DG,DPZ,DUK,D,DG,DPZ,DUK,
Date,,,,,,,,,,,,,,,,,,,,,
2013-01-14,31.94036293029785,38.077327728271484,39.59088897705078,39.450538635253906,32.031813650520945,38.803115659109814,40.02017870133242,39.637563727413074,31.85501016512346,37.94456024338409,39.476998581304,39.37210979726168,31.976943683524773,38.272052472395025,39.60841134763886,39.637563727413074,1237300,4359200,281200,2518600,MRK
2013-01-15,32.02572250366211,39.51121139526367,39.49452209472656,39.848716735839844,32.03182046000714,39.5554661096927,39.63469772143688,39.87887954177162,31.7818577407059,37.86491035772464,39.293016498158075,39.281602590678595,31.89159769802731,38.059635152914325,39.34558361144341,39.45052903317761,1840000,3542700,387100,3139600,MRK
2013-01-16,31.946470260620117,39.502349853515625,39.38063049316406,39.655662536621094,32.09888662192901,39.70592417944274,39.46823901134878,39.812520195192526,31.861115144708283,39.00668842316009,38.88125458699954,39.52293328482915,32.03182305084284,39.41383707501432,39.32806337702279,39.734091365906814,2380200,2348300,308000,2331600,MRK
2013-01-17,31.95256996154785,39.69706344604492,39.82743453979492,39.83061599731445,32.13546915327645,40.042258150031486,39.97637301343147,40.053842868965745,31.903797929075274,39.458087431893865,39.0214255739277,39.66772394706665,32.037922762641905,39.458087431893865,39.63469515433339,39.81855179477413,1538800,3651200,474100,2448800,MRK
2013-01-18,32.26350021362305,39.520042419433594,40.344329833984375,40.307228088378906,32.26350021362305,39.81212607361254,40.537072547534365,40.307228088378906,31.91599103161181,39.404977524676355,39.44194956972778,39.7823501822916,31.989152573069624,39.599702211739924,39.84495402346858,39.92110920920429,2425700,1766000,567200,3205400,MRK
2013-01-22,32.489070892333984,39.80328369140625,41.12405014038086,40.608890533447266,32.54394087333443,39.93604778500551,41.28174809078345,40.60889053344727,32.0988853944148,39.48464446450079,39.844947513381626,40.14434276159234,32.22081661824778,39.67936918681346,40.44069458333598,40.192608780276224,1481500,2552600,833800,2583900,MRK
2013-01-23,32.53173828125,39.8829345703125,40.87874984741211,40.66922378540039,32.60489746043763,39.97144394623246,41.39564801986062,40.70542099656296,32.251292822957105,39.53773990082561,40.7385742417676,40.30120346224525,32.38541759718637,39.590847552227345,40.9751212029271,40.5244257349487,2047600,2224300,439800,2336300,MRK
2013-01-24,32.79391098022461,41.04243087768555,40.8699951171875,40.90450668334961,32.8548766058552,41.44958286447877,41.38689335012818,41.07343310552595,32.568333048874415,39.91834402836381,40.62468527206366,40.57871803933817,32.60491381966649,39.9714516900543,40.73857900936935,40.711447257590955,1418200,8393700,381500,3334900,MRK
2013-01-25,32.84877014160156,41.458431243896484,40.65095901489258,40.97690963745117,32.976799308621594,41.4672808323783,40.71228562333606,41.031210057561346,32.55613104883202,40.962769878494235,40.212909901982314,40.62095811689849,32.836576555358405,41.086684375740596,40.44945348195029,41.02517565468227,1674500,3589600,521000,2301100,MRK
2013-01-28,32.7695198059082,41.60005187988281,40.47574234008789,40.80194091796875,32.91584054555413,41.77707405252744,40.84370202382833,41.08549796095729,32.659779832596065,41.24600753459356,40.28299964362397,40.72351210725059,32.885355410764674,41.39647756308748,40.77361589732769,41.05533515817332,1332300,4163600,330600,2769700,MRK
