Price,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume,Name
Ticker,CPRT,CTVA,CPRT,CTVA,CPRT,CTVA,CPRT,CTVA,CPRT,CTVA,
Date,,,,,,,,,,,
2013-06-03,4.465000152587891,,4.472499847412109,,4.308750152587891,,4.317500114440918,,13116800,,HON
2013-06-04,4.433750152587891,,4.486249923706055,,4.403749942779541,,4.465000152587891,,6681600,,HON
2013-06-05,4.338749885559082,,4.429999828338623,,4.331250190734863,,4.414999961853027,,7115200,,HON
2013-06-06,4.302499771118164,,4.368750095367432,,4.293749809265137,,4.328750133514404,,8613600,,HON
2013-06-07,4.034999847412109,,4.046249866485596,,3.8924999237060547,,3.90625,,42466400,,HON
2013-06-10,4.025000095367432,,4.051249980926514,,3.9825000762939453,,4.046249866485596,,18795200,,HON
2013-06-11,3.9312500953674316,,4.03000020980835,,3.9312500953674316,,3.984999895095825,,7692800,,HON
2013-06-12,3.841249942779541,,3.9649999141693115,,3.8125,,3.942500114440918,,11247200,,HON
2013-06-13,3.9049999713897705,,3.9337499141693115,,3.8137500286102295,,3.8375000953674316,,11630400,,HON
2013-06-14,3.8862500190734863,,3.944999933242798,,3.8862500190734863,,3.913749933242798,,6068800,,HON
2013-06-17,3.9462499618530273,,3.9625000953674316,,3.9049999713897705,,3.90625,,8460800,,HON
2013-06-18,3.987499952316284,,3.990000009536743,,3.9287500381469727,,3.9487500190734863,,3629600,,HON
2013-06-19,3.9487500190734863,,3.994999885559082,,3.9462499618530273,,3.9749999046325684,,3793600,,HON
2013-06-20,3.8887500762939453,,3.940000057220459,,3.8687500953674316,,3.911250114440918,,5450400,,HON
2013-06-21,3.862499952316284,,3.9375,,3.838749885559082,,3.903749942779541,,7942400,,HON
2013-06-24,3.7674999237060547,,3.853749990463257,,3.7674999237060547,,3.8350000381469727,,8928800,,HON
2013-06-25,3.7899999618530273,,3.8112499713897705,,3.7637500762939453,,3.8012499809265137,,6666400,,HON
2013-06-26,3.8037500381469727,,3.84375,,3.778749942779541,,3.825000047683716,,7107200,,HON
2013-06-27,3.851249933242798,,3.859999895095825,,3.8125,,3.8162500858306885,,4386400,,HON
2013-06-28,3.8499999046325684,,3.887500047683716,,3.8187499046325684,,3.8324999809265137,,10289600,,HON
2013-07-01,3.911250114440918,,3.913749933242798,,3.862499952316284,,3.862499952316284,,6148000,,HON
2013-07-02,3.921250104904175,,3.966249942779541,,3.911250114440918,,3.918750047683716,,5168800,,HON
2013-07-03,3.922499895095825,,3.9725000858306885,,3.8975000381469727,,3.9725000858306885,,3734400,,HON
2013-07-05,3.994999885559082,,3.997499942779541,,3.940000057220459,,3.952500104904175,,3029600,,HON
2013-07-08,4.005000114440918,,4.03000020980835,,3.992500066757202,,4.0,,3822400,,HON
2013-07-09,4.016250133514404,,4.043749809265137,,4.007500171661377,,4.019999980926514,,4295200,,HON
2013-07-10,3.9774999618530273,,4.025000095367432,,3.9549999237060547,,4.006249904632568,,6464000,,HON
2013-07-11,4.018750190734863,,4.021249771118164,,3.9749999046325684,,4.0,,3577600,,HON
2013-07-12,4.048749923706055,,4.053750038146973,,4.014999866485596,,4.016250133514404,,3586400,,HON
2013-07-15,4.0625,,4.086249828338623,,4.03125,,4.048749923706055,,2936000,,HON
2013-07-16,3.981250047683716,,4.079999923706055,,3.973750114440918,,4.077499866485596,,4411200,,HON
2013-07-17,4.097499847412109,,4.097499847412109,,3.963749885559082,,4.057499885559082,,6030400,,HON
2013-07-18,4.067500114440918,,4.116250038146973,,4.0625,,4.105000019073486,,3188800,,HON
2013-07-19,4.058750152587891,,4.103750228881836,,4.033750057220459,,4.034999847412109,,2540800,,HON
2013-07-22,4.079999923706055,,4.088749885559082,,4.041250228881836,,4.056250095367432,,3340800,,HON
2013-07-23,4.06374979019165,,4.09375,,4.034999847412109,,4.09375,,4618400,,HON
2013-07-24,4.043749809265137,,4.114999771118164,,4.038750171661377,,4.079999923706055,,3276800,,HON
2013-07-25,4.047500133514404,,4.081250190734863,,4.010000228881836,,4.025000095367432,,3610400,,HON
2013-07-26,4.047500133514404,,4.051249980926514,,4.014999866485596,,4.026249885559082,,3679200,,HON
2013-07-29,4.025000095367432,,4.051249980926514,,4.007500171661377,,4.043749809265137,,4102400,,HON
2013-07-30,4.066249847412109,,4.070000171661377,,4.021249771118164,,4.047500133514404,,2784000,,HON
2013-07-31,4.06374979019165,,4.119999885559082,,4.0625,,4.071249961853027,,3784000,,HON
2013-08-01,4.150000095367432,,4.196249961853027,,4.070000171661377,,4.101250171661377,,7946400,,HON
