Price,Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Name
Ticker,DD,EA,ECL,EIX,EMR,DD,EA,ECL,EIX,EMR,DD,EA,ECL,EIX,EMR,DD,EA,ECL,EIX,EMR,DD,EA,ECL,EIX,EMR,
Date,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-02,34.75248718261719,14.21461296081543,65.13953399658203,29.771005630493164,39.10349655151367,35.04690938529287,14.5858538186185,65.13953399658203,29.77747756409232,39.28254187039792,34.394971689639206,14.04853149991165,63.76365553598312,29.06571543567163,38.55203937352317,34.689396710615256,14.429542074636467,63.921399861417726,29.175716091982228,38.64514097229236,6574298,6881000,1533100,2632400,5417400,NOC
2013-01-03,34.85764694213867,14.40023136138916,64.93795776367188,29.98452377319336,39.28970718383789,35.288768096762254,14.468618440729646,65.49882489173639,30.126876639196446,39.81967982439022,34.64734249636319,14.17553348671847,64.71886883283219,29.686879115476472,39.024720863561726,34.66837547741172,14.195071986750476,65.08693663198761,29.738642223274898,39.296867794865946,4772742,3664600,1060200,2076800,5701800,NOC
2013-01-04,35.36238479614258,14.537003517150879,65.15705108642578,30.41157341003418,39.44009780883789,35.39393005019212,14.605389659760622,65.32356082462788,30.4374561925667,39.5690106412529,34.857657913047966,14.36115237136432,64.85032789978823,29.932751806454572,39.11781572780037,34.91023333646387,14.419769730523612,65.05189267161519,29.939223736246703,39.4186132474402,3668243,3348500,621900,2747200,3243200,NOC
2013-01-07,35.32032012939453,14.116915702819824,64.76270294189453,29.861587524414062,39.17511749267578,35.36238046297334,14.263458641306867,65.1658258572684,30.333937351120966,39.49739962273182,34.72095755759487,13.93129576543253,64.39463506517033,29.835704733502197,39.06768920531883,34.868168725120704,13.93129576543253,65.05190199620567,30.29511316475317,39.253897872468904,4667070,3863300,798300,2290500,4297900,NOC
2013-01-08,34.8050651550293,13.452592849731445,64.19304656982422,29.816301345825195,38.824180603027344,35.30979178674568,13.970375738700627,64.46471466150122,29.95218232968324,39.160786627458144,34.74197467835232,13.452592849731445,63.36051143890679,29.6480656310605,38.573518286119956,35.22567115117638,13.911758368396807,63.36051143890679,29.855123073602112,38.759724188391964,5608494,5110000,1137700,1856400,4127300,NOC
2013-01-09,35.225669860839844,13.384204864501953,64.2982177734375,29.648046493530273,39.17511749267578,35.46751667924259,13.530747814584407,64.58741006249333,29.835692951059436,39.447267150502526,35.004850382258596,13.257201347107067,64.00901879831854,29.58981147113563,38.87431992728521,35.036395619441564,13.462360731869357,64.38585200303208,29.835692951059436,39.03904129775499,5769321,3892500,1044700,1553500,2998200,NOC
2013-01-10,35.583187103271484,13.677289009094238,64.10542297363281,29.62217140197754,39.490234375,35.667307746526156,13.687058724849521,64.50854580702293,29.751582870703878,39.490234375,35.194126309917806,13.433051705360413,63.816223978136556,29.525114651671633,39.06768732086717,35.551641862050985,13.481899352445453,64.43843574398197,29.68687837049994,39.41145399900689,4358836,3207900,1029800,2189600,3449800,NOC
2013-01-11,35.604225158691406,13.911755561828613,63.80744552612305,29.63510513305664,39.41860580444336,35.73040615155181,13.999681133700424,64.42965716497976,29.997456658134972,39.5331946636185,35.162588865378524,12.983654063043083,63.5971220659892,29.609222352340083,39.23956054123133,35.55164974499957,13.384203062289059,64.42089842343495,29.79686881005839,39.46157491912535,4699039,6496800,829300,2453000,2067400,NOC
