Price,Close,Close,Close,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Name
Ticker,ADI,AEP,AMAT,AME,AMGN,AMP,AON,AOS,APH,ADI,AEP,AMAT,AME,AMGN,AMP,AON,AOS,APH,ADI,AEP,AMAT,AME,AMGN,AMP,AON,AOS,APH,ADI,AEP,AMAT,AME,AMGN,AMP,AON,AOS,APH,ADI,AEP,AMAT,AME,AMGN,AMP,AON,AOS,APH,
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-02,33.714176177978516,28.196718215942383,9.969806671142578,35.718284606933594,64.5649185180664,50.089439392089844,50.89150619506836,13.424239158630371,7.600198268890381,33.72183720465248,28.196718215942383,9.969806671142578,35.847664628844115,64.63009637699382,50.112457499711255,50.89150619506836,13.656945931365353,7.600198268890381,32.79469806126376,27.86727065529812,9.776136025116882,35.117587619101954,63.21785417936258,49.23006548598016,49.60659025535285,13.332818357701415,7.342317878780463,32.79469806126376,27.886649053856818,9.801397937448181,35.505727684833516,63.268549911446264,49.299119808844395,49.84585074457337,13.382685113763683,7.355714539213848,3761100,3979400,12963700,1259700,5772800,1860300,2398300,2003600,10184000,KMX
2013-01-03,33.17015075683594,28.177337646484375,9.944550514221191,35.55195617675781,64.15933990478516,50.005027770996094,50.607940673828125,13.214390754699707,7.503074645996094,33.491966471478584,28.332372229140876,10.020333879846552,35.90312969565891,64.87632942469949,50.64956395163169,50.84720117115569,13.30373339925252,7.5778707528664295,32.67209928652878,28.11919998601207,9.851925062284774,35.42257608817919,63.978282949832604,49.9206241538409,50.49274042391747,12.884030946202575,7.47181662233191,33.407680568232124,28.196718509435872,9.969811636096312,35.67209281595623,64.84011582354108,50.035720527602045,50.84720117115569,13.160370007864252,7.535449270996075,2953000,2355300,8741500,851300,3871300,1673200,1505300,2563200,7552800,KMX
2013-01-04,32.58015441894531,28.132118225097656,9.944550514221191,35.96781921386719,64.44178771972656,50.60353088378906,50.62565994262695,13.35775375366211,7.4729323387146,33.17015285606947,28.241934895272575,9.995072757971432,36.01402940940624,64.6590527297904,50.66491640791141,50.88264041412155,13.374376008193957,7.523168320551998,32.51119348673755,28.08690032096415,9.86034570392201,35.45953879102423,64.03621642185277,49.95132578861495,50.53704307281163,13.120892174732328,7.455070126326177,33.124177926950836,28.190255882439445,9.95297035282184,35.69057566734766,64.15933381343086,50.05874752880618,50.74085680280497,13.28503257897436,7.504190358677174,3502800,2679200,7446400,969300,3280500,827000,1569500,1258800,4317600,KMX
2013-01-07,32.67977523803711,28.015844345092773,9.82666015625,35.66283416748047,64.11588287353516,50.06642150878906,50.333213806152344,13.210237503051758,7.482978820800781,32.80237216334731,28.112741267021455,9.860341906791813,35.86614764298074,64.3114274634726,50.45007224832002,50.545890847672844,13.465797981513298,7.489676724253458,32.18172358480997,27.886649270584893,9.590887902457315,35.49648741940591,63.55822992808627,49.85157803129905,50.2711837066228,13.13543892760307,7.3802736598464955,32.18938461385506,28.054603606702464,9.65825140354094,35.81069755184217,64.08691310001038,50.373343271222964,50.53702747323326,13.27672494954106,7.4651174610212685,2377000,2361500,14497900,862400,2573300,1137000,953500,1925600,4875200,KMX
2013-01-08,32.34262466430664,27.873741149902344,9.69193172454834,35.61664581298828,63.84070587158203,49.09195327758789,50.17371368408203,13.461641311645508,7.445022106170654,32.75639029586544,28.035234430112226,9.809817432538713,35.8846494364552,64.22454586699548,49.62906495302349,50.395250749741656,13.490729466309277,7.493025729809843,32.28898870350539,27.847901633662705,9.66666981309084,35.302435519178815,63.326504601743096,48.79270613860862,50.10282358087238,13.187380435397447,7.400367433901195,32.649118374262926,27.951257234429356,9.750874578543527,35.533472396234515,64.05073267623541,49.03057067506496,50.27119053383424,13.22685710349931,7.467349016446868,1797800,2517400,8260500,837400,5170700,1452200,704000,1866800,3464800,KMX
2013-01-09,32.25833511352539,27.88019371032715,9.83508014678955,35.81071853637695,64.21726989746094,49.31446838378906,50.32437515258789,13.374378204345703,7.536563873291016,32.495867858126836,27.95770977793159,9.868761895112684,35.93085870824026,64.3983268254624,49.57535395669745,50.41298865223974,13.50942968533325,7.544378377134299,32.03613026792954,27.72515911092691,9.675091239977501,35.54271489350621,63.88412581298851,49.20704663436981,50.14714477289588,13.305812582032035,7.457302233818565,32.32729604434901,27.84143444442925,9.700353153497018,35.66285506536951,63.97827342639845,49.29912492846329,50.253481648555756,13.461642677189081,7.461766934542977,3117500,2064800,11170300,541600,3372500,957800,723700,1536000,4128800,KMX
2013-01-10,32.64910888671875,28.132118225097656,9.801400184631348,35.84767150878906,63.59442138671875,49.87459945678711,51.46750259399414,13.48449993133545,7.574522018432617,32.66443386005732,28.132118225097656,9.978229596311483,35.94932826704066,64.45625396631215,49.87459945678711,51.46750259399414,13.530210353149263,7.591267632082139,32.32729029248824,27.854349691596997,9.784558905882587,35.37635445241198,63.2033378344348,49.483274037300944,50.492737289787705,13.326591633756626,7.5053080645332875,32.373265212503966,27.93832685535535,9.86876369355365,35.838428062397895,63.9637789958899,49.72114149238466,50.53704403534527,13.49073288245807,7.57563861980053,2275800,2071000,10049100,1247900,5861200,939800,1840900,1456800,3600000,KMX
2013-01-11,32.380924224853516,27.931867599487305,9.86034107208252,35.82919692993164,62.97885513305664,49.92831039428711,51.175071716308594,13.418007850646973,7.632572650909424,32.64144290953546,28.157957115206298,9.885602182091375,36.014027124331584,63.76826638734409,50.15082854079063,51.58269918188997,13.484495281672274,7.644852709654846,32.31196331058654,27.809131178790505,9.792977576701428,35.672090030821735,62.91367727672969,49.58302704691213,51.00670473193055,13.332819987516066,7.542146686355208,32.488199031555176,27.996463899923903,9.826659324391974,35.84768030190591,63.69583917975392,49.69811759333972,51.58269918188997,13.484495281672274,7.5845690171911055,1952700,2849600,8091600,1207300,4681700,1116900,775000,1018000,5020800,KMX
