Price,Close,Close,Close,Close,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Name
Ticker,HD,HES,HRL,HSY,HD,HES,HRL,HSY,HD,HES,HRL,HSY,HD,HES,HRL,HSY,HD,HES,HRL,HSY,
Date,,,,,,,,,,,,,,,,,,,,,
2013-01-02,48.1974983215332,44.497955322265625,12.299642562866211,56.67255401611328,48.37212659234019,44.84592087471326,12.303485821440114,56.67255401611328,47.53694740216289,43.95944164502192,12.088308780285438,55.30777638830307,48.26583137500789,44.84592087471326,12.111363934407834,55.55175862351524,9067200,5446900,2564400,1365200,VRTX
2013-01-03,48.060821533203125,44.90390396118164,12.75689697265625,56.047359466552734,48.53915280121816,45.318146611819074,12.995127765290444,56.63443982824288,47.89378747008698,44.17483601114199,12.391864997407271,55.86436839379525,48.42526343862945,44.40681088416436,12.391864997407271,56.57344280399039,6056800,3887600,6291600,1042500,VRTX
2013-01-04,47.969722747802734,45.583282470703125,13.183405876159668,56.832679748535156,48.1139801299121,45.59985256354572,13.191090928385073,56.87079852762245,47.8330566399823,44.82107400205398,12.868326063787226,56.02448950112615,47.99249946699699,44.87078428058177,12.891379754689606,56.09310679368126,4779100,2371200,4940400,848300,VRTX
2013-01-07,47.711570739746094,46.26262283325195,13.121927261352539,56.771671295166016,47.833051389326215,46.34547010544972,13.214144958879647,56.83266830982479,47.36231423424413,45.64954227355757,12.991284301710907,56.37520233387493,47.52934831721233,46.080355041911844,13.179562955863513,56.695427935340284,5466500,4536200,2816200,943400,VRTX
2013-01-08,48.00008773803711,45.906368255615234,13.183405876159668,56.16172790527344,48.18230726184987,46.22119354019318,13.198774514836641,56.77930678428561,47.62805162440146,45.41756182446283,13.048919660875827,56.146475740583796,47.64323706744037,46.18805337120172,13.141138821806855,56.71068367717512,5433000,3370800,2449000,854000,VRTX
2013-01-09,47.962120056152344,46.063804626464844,13.26025390625,56.771671295166016,48.31137943426979,46.85086669013385,13.287152322817127,56.91653775073174,47.8406394148197,45.73241223573518,13.18340631299724,56.16933886365043,48.22026678102509,46.221218935451965,13.210303263790484,56.253208304557376,4712400,4542400,2493000,873600,VRTX
2013-01-10,48.30379104614258,46.90055465698242,13.2564115524292,57.892459869384766,48.30379104614258,46.983401925142914,13.294835347431059,57.91533229292743,47.66601687873375,46.304044212880676,13.187247548806793,56.626798141405715,48.12157151049851,46.73485696024075,13.294835347431059,57.08426988023825,6714100,3789300,1742400,1380800,VRTX
2013-01-11,48.36452865600586,46.60230255126953,13.252570152282715,58.03733444213867,48.41008208782914,47.115962601139,13.321732692182517,58.04495470639106,48.09119647975795,46.37861111977293,13.160350989459866,57.61036114718476,48.18990040925348,47.05796887746443,13.321732692182517,57.907714328905094,4567100,3477500,1245200,499200,VRTX
2013-01-14,48.1974983215332,46.74314880371094,13.202613830566406,58.365177154541016,48.51638686985755,47.09939780943203,13.283304656172204,58.418548081076665,48.12916526805852,46.49460379424585,13.15266173890755,57.8467142323398,48.33416442848257,46.80114569432668,13.256407714303604,57.961076348491396,4532200,2849400,2555600,556400,VRTX
2013-01-15,48.55434799194336,46.95027160644531,13.237199783325195,58.090721130371094,48.59990432539151,47.041405516799145,13.271781785471832,58.235581811393885,48.17472056885752,46.254346822844454,13.152665674572559,57.884857599816684,48.212682731900635,46.47803512590395,13.191090935720956,58.03735018115277,5119400,3936300,1766200,999600,VRTX
2013-01-16,48.48600769042969,47.248531341552734,13.22567081451416,58.357566833496094,48.592302889588346,47.36451881641138,13.237199125172411,58.35756683349609,48.25063768063054,46.70173098834649,13.171876917354872,57.907721059508305,48.3189707224221,46.734871169855154,13.214143969629674,57.907721059508305,3915400,2771800,1298800,739100,VRTX
2013-01-17,49.3895263671875,47.47222900390625,13.314483642578125,59.4859619140625,49.57174589469901,47.720774076722314,13.41488370742254,59.56221107480164,48.62267740795563,46.93371520620847,13.202499521424302,58.56340407566265,48.7365667848957,47.38109507310855,13.287453195823598,58.63965323640179,7796000,2707500,1541400,1008400,VRTX
2013-01-18,49.70840835571289,47.77047348022461,13.395577430725098,59.68422317504883,49.716002524995055,47.78704356936301,13.476670258856302,59.70709560563715,49.32118681947725,47.107685716795295,13.353102058812446,59.20388468170421,49.46544707256882,47.621345838400345,13.364686117238703,59.43261480458406,6534400,3163600,3505400,866200,VRTX
2013-01-22,49.92100524902344,48.77294158935547,13.468950271606445,60.07307052612305,50.10322478692448,48.864075502058235,13.49211839397946,60.073070526123054,49.51860111452526,47.57163695544178,13.368550164491745,59.600352309483554,49.64767304584455,47.86160878317071,13.414889355336756,59.70709419437046,6574000,5782700,1768200,1001000,VRTX
2013-01-23,50.46006774902344,47.91132354736328,13.484395980834961,60.08072280883789,50.47525608723521,48.53268774454071,13.488258316821733,60.08834307751258,49.58692366676769,47.72076907905774,13.411027800631642,59.69949996313968,49.70840720184672,48.52440111874217,13.488258316821733,60.01209967177274,6795500,3372400,1112400,857000,VRTX
2013-01-24,51.135799407958984,48.41669845581055,13.619543075561523,59.53936004638672,51.39394900057827,48.61553639503501,13.634989465836991,60.06544924754396,50.535987540642715,47.88646816510774,13.461221257860108,59.39449937216714,50.535987540642715,47.91960834838213,13.492112565362191,59.85196546069665,8484600,2996200,2123000,1208600,VRTX
2013-01-25,51.49264907836914,48.79780197143555,13.646570205688477,59.356346130371094,51.7280161614073,48.87236580012158,13.66201659221023,59.76044107718188,51.09024504892205,48.383559181051275,13.538448446133192,59.12761610498463,51.33320630024783,48.44155291887134,13.658154259055545,59.76044107718188,7494700,2552300,1407200,1239300,VRTX
2013-01-28,51.31043243408203,51.76378631591797,13.573208808898926,58.868412017822266,51.743207368031285,52.824247003843695,13.689053819151209,59.44024610067288,51.06747116927988,50.960154173111796,13.503701508137711,58.59393119269419,51.743207368031285,52.318873380044316,13.689053819151209,59.44024610067288,6561200,14383600,1482800,1364800,VRTX
2013-01-29,51.02192306518555,56.42815399169922,13.519146919250488,59.31061553955078,51.477480604507974,58.631922372352115,13.607962952480445,59.40211106188592,50.84729769541272,55.61623533303125,13.499839662350215,58.952265348315876,51.24970183484676,56.19617903803506,13.577070163000586,59.14287665710078,6504300,24404200,1131000,1600300,VRTX
2013-01-30,51.05228805541992,56.23758316040039,13.472807884216309,59.68422317504883,51.31043768405309,56.742959728470495,13.55389923905883,59.74522020128209,50.87766270582325,54.72145977703163,13.441916570821165,59.196258599175906,51.03710550910224,56.02218152087399,13.52300792566369,59.29537440405751,5102200,11845200,1503800,1466300,VRTX
2013-01-31,50.80931854248047,55.64107894897461,13.36468505859375,60.57630157470703,51.29524104315876,56.163022442179674,13.561621401486043,60.965150465767,50.80931854248047,53.52843878539118,13.360822724058183,59.707114041983615,51.04469141721596,54.44805802640123,13.407161900190857,59.707114041983615,5615900,6978500,3542800,1865200,VRTX
2013-02-01,51.097843170166016,56.510982513427734,13.677467346191406,61.10236358642578,51.431911296174434,57.124059875995435,13.681329680995374,61.338719759128054,51.02950723559715,55.549942835957395,13.457361399937218,60.53815571433208,51.340804440287414,55.81505788362245,13.457361399937218,60.99562171378632,4983300,4800000,2309600,1499100,VRTX
2013-02-04,50.384151458740234,55.91448211669922,13.553903579711914,60.759246826171875,51.03711108212823,56.204450764521944,13.60796597330294,60.84311624555475,50.35378057013443,55.34283144551798,13.530735455508223,59.81381079258208,50.76377887733071,55.475385832733025,13.580934039982624,59.81381079258208,4741000,4636300,1336000,1544100,VRTX
