Price,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume,Name
Ticker,HBAN,HUM,HBAN,HUM,HBAN,HUM,HBAN,HUM,HBAN,HUM,
Date,,,,,,,,,,,
2013-01-02,4.234411716461182,62.29448318481445,4.253746757171203,63.805421105007326,4.176405979681256,61.98500962158733,4.24730184604284,63.477746482446236,9507900,2206700,DIS
2013-01-03,4.285972595214844,60.301151275634766,4.298862725880492,62.14886846023454,4.208631811220957,60.13731390760359,4.240856984222598,62.13066739459601,10460000,2831900,DIS
2013-01-04,4.311751365661621,61.41157913208008,4.337531618078818,61.666435614673404,4.273080987035826,60.48316543769773,4.2859711132444245,60.829048044918665,11162200,1874400,DIS
2013-01-07,4.318197727203369,61.2386474609375,4.324642946137456,61.71195838390404,4.273082423964573,60.6652202849059,4.318197727203369,61.111219199597144,9202200,1415700,DIS
2013-01-08,4.285972595214844,60.082679748535156,4.324642987211788,61.69374076989167,4.247302203217901,60.0644717458541,4.31175285654614,61.21133286361877,10895100,1989000,DIS
2013-01-09,4.240856170654297,60.901851654052734,4.337532285762733,61.06568197297787,4.227966042461499,60.255599655925764,4.2795265552326915,60.26470365508272,10451100,1646100,DIS
2013-01-10,4.298861503601074,63.02265167236328,4.318196540439608,63.24110607822408,4.266636032437026,61.211343959098336,4.298861503601074,61.29325915305643,11404300,2057200,DIS
2013-01-11,4.2473015785217285,63.313899993896484,4.318197133092944,63.5050423386315,4.2279662317046345,62.57663567215889,4.305307004323185,63.41402316651735,10120400,1865700,DIS
2013-01-14,4.2473015785217285,63.932865142822266,4.2601917072914866,64.04209235875808,4.2150761029348764,63.16829546423281,4.2473015785217285,63.35033387980542,3947500,1267000,DIS
2013-01-15,4.279527187347412,65.15253448486328,4.292417317444168,65.30726780815537,4.21507653686363,63.51416122553722,4.21507653686363,63.596083360663194,10025900,1990400,DIS
2013-01-16,4.331089019775391,64.40615844726562,4.331089019775391,65.14342285548666,4.2601934364289065,64.27873020249454,4.266638349767207,64.98868955031014,11739600,1429500,DIS
