Price,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume,Name
Ticker,BK,BLK,BK,BLK,BK,BLK,BK,BLK,BK,BLK,
Date,,,,,,,,,,,
2013-01-02,20.015132904052734,157.18844604492188,20.02257918070415,157.26231644575694,19.45667493728502,154.23335946526217,19.546028836869958,155.60008024469835,9261200,951600,XRAY
2013-01-03,19.791751861572266,157.61695861816406,20.000243363719157,159.56731560267852,19.66516798888168,156.74520208443312,20.000243363719157,157.5874014351834,6790800,596200,XRAY
2013-01-04,20.32042694091797,161.0744171142578,20.342764353251,161.68759907036207,19.560923676486176,157.37317439787773,19.680061276369727,157.3805580577959,9072900,805200,XRAY
2013-01-07,20.0225772857666,160.77886962890625,20.03746983766,161.26645032583804,19.583256946534732,159.02058958394684,19.873656027528355,160.81579919132153,6789200,722300,XRAY
2013-01-08,19.74707794189453,158.28919982910156,19.963014326462,160.63849939186838,19.642831468438754,158.13406410499323,19.955568048341423,160.32821667089163,4763100,630400,XRAY
2013-01-09,19.8140926361084,158.7029266357422,20.044921572389484,160.40209236298156,19.70984616469734,158.26704280765549,19.836430049799674,158.9762685309874,5192500,685100,XRAY
2013-01-10,19.977907180786133,161.6062469482422,20.10449107026003,162.52971121651785,19.843877013080558,159.44165211432747,20.015137151712192,159.58940414270015,9802100,829400,XRAY
2013-01-11,19.940677642822266,163.2759246826172,19.9555687793766,163.4606176023276,19.672617301590847,160.55725031540499,19.903446250855463,161.36989239847415,5467200,823800,XRAY
2013-01-14,19.895998001098633,164.147705078125,19.948121944687536,165.83210384985284,19.71729159806199,162.57411756528867,19.858768033053092,163.4384792029309,4898800,869400,XRAY
2013-01-15,19.940677642822266,164.9307861328125,20.030030143077813,165.04899231321934,19.791754915419837,162.9656506564055,19.828984887154252,165.0194351317367,8425700,637900,XRAY
2013-01-16,19.389665603637695,164.1846466064453,19.50880321611389,165.48488089816482,19.07692901582959,163.55668607607478,19.203512906614595,164.32500377737202,12347800,758200,XRAY
2013-01-17,19.68750762939453,171.39501953125,19.79175267463437,173.21240271560464,19.151387007630277,167.7011613516972,19.225848362901115,168.99401171454068,9632600,1721800,XRAY
2013-01-18,19.754526138305664,172.8208465576172,19.784309833447836,172.87256598400765,19.441789528034278,170.84832760617198,19.65772593357055,171.98604225915463,9711600,1425400,XRAY
2013-01-22,20.089597702026367,175.0593719482422,20.104490257887964,175.09630152029757,19.680062357458606,172.90954328930275,19.680062357458606,172.9612514538382,8868400,1137000,XRAY
2013-01-23,20.0523681640625,174.3427276611328,20.10449069046728,176.28568945654666,19.925784276979897,173.71476724261493,19.963014247202644,175.31051672964603,7358000,888500,XRAY
2013-01-24,20.209495544433594,174.59390258789062,20.291800499115073,176.1305489478962,20.052368033416364,173.30843587938082,20.059850431762097,175.32529056781596,6878400,1002900,XRAY
2013-01-25,20.26186752319336,174.66041564941406,20.34417246413476,175.64298342889816,20.08977667133527,174.23932161407078,20.254385126096746,175.4804527422008,5311600,1080700,XRAY
2013-01-28,20.269344329833984,173.5079345703125,20.396542191151486,174.58654629101227,20.08228873537418,172.2520248432462,20.314237272910475,174.0472347942812,8052700,914300,XRAY
2013-01-29,20.411510467529297,175.83506774902344,20.411510467529297,175.83506774902344,20.119702719888636,172.95386230876446,20.142149908821356,173.7221800019126,5887800,879200,XRAY
2013-01-30,20.433958053588867,175.38442993164062,20.538710184172164,176.12320177005992,20.224456646664873,174.4166406269535,20.31424255616907,175.64300458419282,4757800,743800,XRAY
2013-01-31,20.32172393798828,174.5569610595703,20.448921826032883,176.23397582781206,20.261866192268542,173.95855783871255,20.351653524408768,174.8894060408512,5717700,696900,XRAY
