Price,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume,Name
Ticker,IBM,IFF,INTU,IP,IPG,IPGP,IBM,IFF,INTU,IP,IPG,IPGP,IBM,IFF,INTU,IP,IPG,IPGP,IBM,IFF,INTU,IP,IPG,IPGP,IBM,IFF,INTU,IP,IPG,IPGP,
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-18,115.68074035644531,53.65807342529297,57.42955017089844,24.18598747253418,7.998607635498047,66.6500015258789,115.99600607890375,53.673285879341556,57.4385671166485,24.18598747253418,8.065597907096599,67.69999694824219,115.28219116360786,52.93563850796955,56.79825732004662,23.960920671974442,7.958413983632178,65.58000183105469,115.41900315724233,53.140960222815266,57.25820067949307,24.041715877039326,8.032102771297323,67.5,4769342,344200,1227500,3241370,4679200,555200,WHR
2013-01-22,116.63845825195312,53.84819793701172,57.519737243652344,24.272552490234375,7.945017337799072,67.37000274658203,116.63845825195312,53.90142993182016,57.519737243652344,24.301405394061973,8.012007623428312,67.75,115.40711227467132,53.11055043620022,56.771206846547216,24.01863043570782,7.891425364842365,66.52999877929688,115.61531146612052,53.76454683061955,57.35740468711976,24.03594217800438,7.978512480613692,66.79000091552734,7502226,337400,1155200,3831801,5448200,300400,WHR
2013-01-23,121.77787780761719,53.4527702331543,57.4205322265625,24.38218879699707,8.045501708984375,66.86000061035156,124.07401064955026,53.85581337733713,57.77225161034867,24.509150953724347,8.052200864440305,67.72000122070312,120.96888368605883,53.35391245498692,57.402498334295515,24.18020676210704,7.898123483287031,66.11000061035156,121.0521671001854,53.726536482382876,57.54679355431726,24.22637374761584,7.924919466244128,67.72000122070312,13106903,328300,1479100,3590018,4961400,318400,WHR
2013-01-24,121.59952545166016,53.817779541015625,57.5557975769043,24.462982177734375,8.145987510681152,67.5,121.98023502802063,54.15238397103336,58.114944439173776,24.664966574566638,8.172783497011023,67.9000015258789,120.8024269406519,53.429948917334016,57.258190257551895,24.35333646858404,8.03880356536167,66.12000274658203,121.29615596380643,53.75694711889161,57.718130093012384,24.405274033826963,8.05220187795996,66.5199966430664,4651771,433700,1679700,2875483,4813500,385000,WHR
2013-01-25,121.92662048339844,54.09156036376953,57.456600189208984,24.5322322845459,8.152687072753906,68.98999786376953,122.05153613597408,54.27407508501812,57.844394192831004,24.5841722037661,8.206279048081015,69.2699966430664,121.42694837886062,53.901445213859375,57.249176049641,24.353334928212075,8.125891085090352,67.26000213623047,121.61729830046048,54.03072792520728,57.384454307748776,24.5841722037661,8.192880734815867,68.0199966430664,3513409,278200,1516100,3268675,3181500,409800,WHR
2013-01-28,121.90289306640625,53.62006759643555,57.60993194580078,24.307170867919922,8.125887870788574,68.05000305175781,122.67024604829848,54.20561958621537,58.142021301941476,24.486070620381327,8.16608151695141,69.45999908447266,121.52218352554664,53.46797202633817,57.60091155791858,24.059021803558096,8.085693585759252,68.0199966430664,121.85529843989863,54.20561958621537,57.67306089989629,24.486070620381327,8.139285539887357,68.98999786376953,2953590,312200,1225200,3891015,2640700,178300,WHR
2013-01-29,121.2901611328125,54.12199020385742,57.60993194580078,24.18019676208496,8.119192123413086,65.72000122070312,122.37874196531139,54.137202667901555,57.880485097677244,24.41103395142581,8.15938642530692,68.06999969482422,121.1354999977627,53.620089125647695,56.82532333300807,23.649270755148702,8.078998460386009,65.5,121.55189828266232,53.635295787836746,57.501707932834215,23.649270755148702,8.13259043699995,68.06999969482422,3783487,314100,1218000,5912869,4712900,429200,WHR
2013-01-30,121.06412506103516,53.87101364135742,56.87041091918945,24.105188369750977,8.06559944152832,65.69000244140625,121.87311959480566,54.31208207964088,57.65501598861621,24.272546960138094,8.152686555627605,66.5,120.86782219419904,53.77976210367988,56.71709530776726,23.949373295528282,8.058900285320675,65.37999725341797,121.1652481909767,54.12196697367587,57.45660876451791,24.001310867848233,8.092395427492201,66.16999816894531,3136326,374700,1754300,4471915,7575700,399500,WHR
2013-01-31,120.79638671875,53.55923080444336,56.25712585449219,23.9032039642334,8.112492561340332,65.4800033569336,121.62918297443754,54.14478280992318,57.30326654525294,24.22637523996485,8.166084535276955,67.0,120.73096195020216,53.53641791878027,56.1579222944624,23.9032039642334,8.032104600435398,65.45999908447266,120.94510440479462,53.8101841504431,57.01467624713051,24.024393192632694,8.05890058740371,66.13999938964844,3233604,1022200,3504600,3096814,3549600,547700,WHR
2013-02-01,122.05158996582031,54.236019134521484,56.726104736328125,24.439899444580078,8.206276893615723,66.37000274658203,122.15271310957492,54.28925111438887,56.96960008579549,24.49183700893365,8.206276893615723,66.62000274658203,121.25449160350118,53.47555896392984,56.27518181613559,24.145581079630702,8.145985777484793,64.8499984741211,121.73632425259947,53.81016329558238,56.96960008579549,24.151351658196376,8.166082603239579,66.37000274658203,3525752,398700,2262700,3740998,3825000,479600,WHR
2013-02-04,121.22473907470703,53.787384033203125,55.995609283447266,24.307170867919922,8.058903694152832,66.0199966430664,121.95641259066892,54.16000812514638,56.81628887401675,24.347567282054705,8.19288368064437,66.79000091552734,121.09387048657987,53.642894653899816,55.788185149596615,24.151355790933916,8.058903694152832,65.61000061035156,121.46268368843617,54.00791251486545,56.28419968187155,24.232148619203482,8.145990845089074,65.88999938964844,3335485,317900,1968300,3253042,3637200,395300,WHR
2013-02-05,120.62987518310547,54.12199020385742,56.8794059753418,24.693828582763672,8.145987510681152,67.56999969482422,121.79578658620116,54.72275489278874,57.005663818351856,24.75730968602996,8.159385823279441,68.66000366210938,120.46331776755436,53.73415939855835,55.752098890940275,24.457220626608816,8.07899786428983,66.04000091552734,121.53404943566174,54.30450496125649,56.42848314158119,24.457220626608816,8.105793850619701,66.94000244140625,3804197,496000,1778700,3612932,2972700,1103800,WHR
2013-02-06,120.08033752441406,54.137176513671875,56.735137939453125,24.49761390686035,8.186182975769043,67.38999938964844,120.24162763227781,54.32729160939136,56.88845356519365,24.699598352337485,8.206279808662657,68.58000183105469,119.20819632817148,53.83299120015025,56.031699083256186,24.428362231683224,8.105795005327792,66.51000213623047,119.70400347360142,53.83299120015025,56.55476803163421,24.57840674214597,8.105795005327792,67.0999984741211,3790913,411800,1882400,2915102,3844300,319900,WHR
2013-02-07,119.31570434570312,55.25505828857422,56.1399040222168,24.324491500854492,8.092397689819336,66.98999786376953,120.01460896837997,55.41475428455907,56.960583606055316,24.61303705689541,8.186183986345354,67.5999984741211,118.68250943804556,52.66188540641591,55.97757149440093,24.024402425342203,7.97851455791877,66.19999694824219,119.84137253165618,53.02690896999038,56.753159473905896,24.60149589468756,8.166086512103929,67.27999877929688,3218228,937700,3569600,2340627,4430900,239300,WHR
2013-02-08,120.47459411621094,55.96988296508789,55.4725341796875,24.584177017211914,8.145987510681152,67.22000122070312,120.71951826637215,56.19802340047062,56.50965823580502,24.60148875549994,8.172783497011023,69.13999938964844,119.27989169555421,55.08014571042936,54.218969056031426,24.336025600910357,8.105793850619701,66.94999694824219,119.45311863643471,55.665697651861684,56.49162090679869,24.405277268588133,8.125890680650427,67.47000122070312,3026392,623700,5142100,2010825,5695800,331100,WHR
2013-02-11,119.56657409667969,55.764556884765625,55.39136505126953,24.336029052734375,8.139286994934082,67.25,120.63583456344404,56.30448301793858,55.79719633222734,24.520699406981155,8.179481287148871,67.30999755859375,119.32165004736439,55.39192714911733,55.16590361076726,24.255236214738254,8.12588932344022,66.33999633789062,120.05640312691138,56.00790395608093,55.59879260396796,24.509158246485473,8.145986150114314,67.2300033569336,3080156,289400,2166900,2785323,2651200,292100,WHR
2013-02-12,119.49488830566406,55.848209381103516,55.4094123840332,24.243696212768555,8.199581146240234,67.55000305175781,119.91303923102443,56.11436934047139,55.562727980196975,24.439907736887317,8.407250561562735,68.25,118.88558621284166,55.66569472166385,55.1568966259625,24.232152694458076,8.14598916271188,67.1500015258789,119.47696401044591,55.90144137297709,55.364320775844746,24.30717495579142,8.166085996818303,67.47000122070312,2575043,240900,1498800,2627383,8674100,367700,WHR
2013-02-13,119.5247802734375,56.403350830078125,55.4094123840332,24.266939163208008,8.306764602661133,67.79000091552734,120.03850210706527,56.608678402967435,55.91444734044379,24.394812132958624,8.346958907269983,68.0,119.21415599557861,55.95468194432858,54.94947247608025,24.168126613252554,8.21297895668515,66.94000244140625,119.85929725971612,56.19802905904167,55.67094852790311,24.354125171028098,8.246474104048058,68.0,2269611,292000,1759500,4097783,5201400,437500,WHR
2013-02-14,119.26193237304688,56.12199020385742,54.7961540222168,24.29600715637207,8.36705207824707,69.4800033569336,119.66215904424546,56.266473761277155,55.36431788851449,24.41225598308094,8.380450386875097,70.11000061035156,119.02896418231036,55.74936036171631,54.65185881937743,24.150695529431527,8.273266473316957,67.02999877929688,119.30971778626446,56.1676159796896,55.211005740615356,24.173943870242613,8.273266473316957,67.45999908447266,3445733,321100,2988200,3416229,3183500,829100,WHR
2013-02-15,120.05640411376953,56.182823181152344,55.97756576538086,24.511066436767578,8.420645713806152,62.7599983215332,120.21768463275718,56.46419567249738,56.0136404212632,24.74937617788488,8.494335148218338,64.98999786376953,119.36346802725359,55.92426937979761,54.79614658724847,24.354130637777267,8.333558606961434,59.66999816894531,119.45904837738668,56.106778286745275,54.9765164263916,24.371566893568264,8.340257762611024,64.5,3794679,329300,2139900,3221025,3814900,4395900,WHR
2013-02-19,119.66212463378906,56.15999984741211,56.10383987426758,24.35994529724121,8.42734432220459,62.119998931884766,120.59997507079608,56.3957465186354,56.419488044280065,24.702879731997076,8.474237130973316,63.68000030517578,119.60239288444377,55.88623363698359,55.89641570325513,24.307634150122485,8.36705320300674,60.2400016784668,119.82938306615372,56.14479319210051,56.00463626198564,24.4703820515746,8.407247495427509,62.54999923706055,3136222,345400,1421800,3068224,3576700,1550300,WHR
2013-02-20,119.05889129638672,55.087764739990234,55.39136505126953,23.290451049804688,8.360353469848633,60.709999084472656,120.49851812721492,56.03834043855796,56.36536012556826,24.377377291097247,8.454139719769332,62.88999938964844,118.79007438404996,55.08015850988267,55.346273451222785,23.20326266272422,8.346955799212282,60.529998779296875,119.84142071284182,56.03834043855796,56.257139597402364,24.319251699710268,8.420644584878614,62.04999923706055,3886308,447200,2107800,6753649,6186600,841300,WHR
